id,title,year,runtime,genre,imdb_rating,metascore,num_votes,gross
tt0111161,Die Verurteilten,1994,142 min,Drama,9.3,81,2700673,$28.34M
tt0468569,The Dark Knight,2008,152 min,"Action, Crime, Drama",9,84,2674490,$534.86M
tt1375666,Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,74,2372712,$292.58M
tt0137523,Fight Club,1999,139 min,Drama,8.8,66,2145680,$37.03M
tt0109830,Forrest Gump,1994,142 min,"Drama, Romance",8.8,82,2097825,$330.25M
tt0110912,Pulp Fiction,1994,154 min,"Crime, Drama",8.9,94,2073141,$107.93M
tt0133093,Matrix,1999,136 min,"Action, Sci-Fi",8.7,73,1927327,$171.48M
tt0120737,Der Herr der Ringe: Die Gefährten,2001,178 min,"Action, Adventure, Drama",8.8,92,1889088,$315.54M
tt0068646,Der Pate,1972,175 min,"Crime, Drama",9.2,100,1874732,$134.97M
tt0167260,Der Herr der Ringe: Die Rückkehr des Königs,2003,201 min,"Action, Adventure, Drama",9,94,1859719,$377.85M
tt0816692,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,74,1858018,$188.02M
tt1345836,The Dark Knight Rises,2012,164 min,"Action, Drama",8.4,78,1717334,$448.14M
tt0167261,Der Herr der Ringe: Die zwei Türme,2002,179 min,"Action, Adventure, Drama",8.8,87,1679262,$342.55M
tt0114369,Sieben,1995,127 min,"Crime, Drama, Mystery",8.6,65,1667390,$100.13M
tt1853728,Django Unchained,2012,165 min,"Drama, Western",8.4,81,1569895,$162.81M
tt0172495,Gladiator,2000,155 min,"Action, Adventure, Drama",8.5,67,1512237,$187.71M
tt0372784,Batman Begins,2005,140 min,"Action, Crime, Drama",8.2,70,1482029,$206.85M
tt0361748,Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3,69,1464271,$120.54M
tt0102926,Das Schweigen der Lämmer,1991,118 min,"Crime, Drama, Thriller",8.6,85,1443982,$130.74M
tt0993846,The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime",8.2,75,1429646,$116.90M
tt0120815,Der Soldat James Ryan,1998,169 min,"Drama, War",8.6,91,1402068,$216.54M
tt0848228,The Avengers,2012,143 min,"Action, Sci-Fi",8,69,1399881,$623.28M
tt0076759,Krieg der Sterne,1977,121 min,"Action, Adventure, Fantasy",8.6,90,1374175,$322.74M
tt0108052,Schindlers Liste,1993,195 min,"Biography, Drama, History",9,95,1365241,$96.90M
tt0482571,Prestige - Die Meister der Magie,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,66,1343926,$53.09M
tt0407887,Departed: Unter Feinden,2006,151 min,"Crime, Drama, Thriller",8.5,85,1335406,$132.38M
tt1130884,Shutter Island,2010,138 min,"Mystery, Thriller",8.2,63,1331458,$128.01M
tt0499549,Avatar - Aufbruch nach Pandora,2009,162 min,"Action, Adventure, Fantasy",7.9,83,1321830,$760.51M
tt0120689,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6,61,1312822,$136.80M
tt7286456,Joker,2019,122 min,"Crime, Drama, Thriller",8.4,59,1309576,$335.45M
tt0080684,Das Imperium schlägt zurück,1980,124 min,"Action, Adventure, Fantasy",8.7,82,1301741,$290.48M
tt0071562,Der Pate 2,1974,202 min,"Crime, Drama",9,90,1280958,$57.30M
tt0209144,Memento,2000,113 min,"Mystery, Thriller",8.4,81,1247401,$25.54M
tt0088763,Zurück in die Zukunft,1985,116 min,"Adventure, Comedy, Sci-Fi",8.5,87,1216608,$210.61M
tt0120338,Titanic,1997,194 min,"Drama, Romance",7.9,75,1190118,$659.33M
tt2015381,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8,76,1189545,$333.18M
tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia,1990,145 min,"Biography, Crime, Drama",8.7,91,1171514,$46.84M
tt0110413,Léon: Der Profi,1994,110 min,"Action, Crime, Drama",8.5,64,1171171,$19.50M
tt0169547,American Beauty,1999,122 min,Drama,8.4,84,1161391,$130.10M
tt4154796,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4,78,1147271,$858.37M
tt0325980,Fluch der Karibik,2003,143 min,"Action, Adventure, Fantasy",8.1,63,1136931,$305.41M
tt0120586,American History X,1998,119 min,"Crime, Drama",8.5,62,1129953,$6.72M
tt0434409,V wie Vendetta,2005,132 min,"Action, Drama, Sci-Fi",8.2,62,1129190,$70.51M
tt0910970,WALL·E - Der Letzte räumt die Erde auf,2008,98 min,"Animation, Adventure, Family",8.4,95,1125202,$223.81M
tt0266697,Kill Bill - Vol. 1,2003,111 min,"Action, Crime, Drama",8.2,69,1124927,$70.10M
tt0103064,Terminator 2: Tag der Abrechnung,1991,137 min,"Action, Sci-Fi",8.6,75,1107559,$204.84M
tt0120382,Die Truman Show,1998,103 min,"Comedy, Drama",8.2,90,1094720,$125.62M
tt4154756,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4,68,1094558,$678.82M
tt0114814,Die üblichen Verdächtigen,1995,106 min,"Crime, Drama, Mystery",8.5,77,1092277,$23.34M
tt0371746,Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",7.9,79,1067658,$318.41M
tt0110357,Der König der Löwen,1994,88 min,"Animation, Adventure, Drama",8.5,88,1067495,$422.78M
tt0086190,Die Rückkehr der Jedi-Ritter,1983,131 min,"Action, Adventure, Fantasy",8.3,58,1061855,$309.13M
tt1049413,Oben,2009,96 min,"Animation, Adventure, Comedy",8.3,88,1052816,$293.00M
tt0266543,Findet Nemo,2003,100 min,"Animation, Adventure, Comedy",8.2,90,1052070,$380.84M
tt1431045,Deadpool,2016,108 min,"Action, Comedy",8,65,1048704,$363.07M
tt0112573,Braveheart,1995,178 min,"Biography, Drama, History",8.4,68,1044320,$75.60M
tt0081505,Shining,1980,146 min,"Drama, Horror",8.4,66,1031842,$44.02M
tt0105236,Reservoir Dogs: Wilde Hunde,1992,99 min,"Crime, Thriller",8.3,79,1027475,$2.83M
tt0338013,Vergiss mein nicht,2004,108 min,"Drama, Romance, Sci-Fi",8.3,89,1016508,$34.40M
tt0073486,Einer flog über das Kuckucksnest,1975,133 min,Drama,8.7,84,1014374,$112.00M
tt1392190,Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1,90,1013269,$154.06M
tt0114709,Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3,96,1002177,$191.80M
tt0167404,The Sixth Sense - Nicht jede Gabe ist ein Segen,1999,107 min,"Drama, Mystery, Thriller",8.2,64,999084,$293.51M
tt0107290,Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2,68,997982,$402.45M
tt0264464,Catch Me If You Can,2002,141 min,"Biography, Crime, Drama",8.1,75,997084,$164.62M
tt2267998,Gone Girl - Das perfekte Opfer,2014,149 min,"Drama, Mystery, Thriller",8.1,79,992978,$167.77M
tt0477348,No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.2,92,984020,$74.28M
tt0119217,Good Will Hunting: Der gute Will Hunting,1997,126 min,"Drama, Romance",8.3,70,982771,$138.43M
tt0082971,Jäger des verlorenen Schatzes,1981,115 min,"Action, Adventure",8.4,85,973717,$248.16M
tt0268978,A Beautiful Mind: Genie und Wahnsinn,2001,135 min,"Biography, Drama",8.2,72,939213,$170.74M
tt2488496,Star Wars - Episode VII: Das Erwachen der Macht,2015,138 min,"Action, Adventure, Sci-Fi",7.8,80,937515,$936.66M
tt1392170,Die Tribute von Panem - The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",7.2,68,927159,$408.01M
tt0198781,Die Monster AG,2001,92 min,"Animation, Adventure, Comedy",8.1,79,917786,$289.92M
tt0095016,Stirb langsam,1988,132 min,"Action, Thriller",8.2,72,891514,$83.01M
tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,117 min,"Horror, Sci-Fi",8.5,89,890138,$78.90M
tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2,2011,130 min,"Adventure, Family, Fantasy",8.1,85,885093,$381.01M
tt2582802,Whiplash,2014,106 min,"Drama, Music",8.5,89,877307,$13.09M
tt0088247,Terminator,1984,107 min,"Action, Sci-Fi",8.1,84,873430,$38.40M
tt2395427,Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi",7.3,66,871911,$459.01M
tt1675434,Ziemlich beste Freunde,2011,112 min,"Biography, Comedy, Drama",8.5,57,866913,$13.18M
tt3659388,Der Marsianer: Rettet Mark Watney,2015,144 min,"Adventure, Drama, Sci-Fi",8,80,864873,$228.43M
tt0208092,Snatch: Schweine und Diamanten,2000,104 min,"Comedy, Crime",8.2,55,863199,$30.33M
tt1300854,Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi",7.1,62,857905,$409.01M
tt0800369,Thor,2011,115 min,"Action, Fantasy",7,57,856962,$181.03M
tt1843866,The Return of the First Avenger,2014,136 min,"Action, Adventure, Sci-Fi",7.8,70,853889,$259.77M
tt0458339,Captain America: The First Avenger,2011,124 min,"Action, Adventure, Sci-Fi",6.9,66,852786,$176.65M
tt1010048,Slumdog Millionär,2008,120 min,"Crime, Drama, Romance",8,84,851356,$141.32M
tt0086250,Scarface,1983,170 min,"Crime, Drama",8.3,65,850453,$45.60M
tt0180093,Requiem for a Dream,2000,102 min,Drama,8.3,71,849686,$3.64M
tt0075314,Taxi Driver,1976,114 min,"Crime, Drama",8.2,94,843656,$28.26M
tt0435761,Toy Story 3,2010,103 min,"Animation, Adventure, Comedy",8.3,92,843022,$415.00M
tt0253474,Der Pianist,2002,150 min,"Biography, Drama, Music",8.5,85,840403,$32.57M
tt0066921,Uhrwerk Orange,1971,136 min,"Crime, Sci-Fi",8.3,77,836665,$6.21M
