id,stars,n
tt0004972,1,3034
tt0004972,2,698
tt0004972,3,831
tt0004972,4,1126
tt0004972,5,2276
tt0004972,6,3308
tt0004972,7,4402
tt0004972,8,3628
tt0004972,9,1893
tt0004972,10,4014
tt0010323,1,1661
tt0010323,2,416
tt0010323,3,593
tt0010323,4,871
tt0010323,5,1889
tt0010323,6,4212
tt0010323,7,10578
tt0010323,8,19213
tt0010323,9,12940
tt0010323,10,13146
tt0012349,1,2077
tt0012349,2,718
tt0012349,3,652
tt0012349,4,1450
tt0012349,5,2884
tt0012349,6,5910
tt0012349,7,18122
tt0012349,8,39101
tt0012349,9,30000
tt0012349,10,26829
tt0013442,1,2259
tt0013442,2,715
tt0013442,3,973
tt0013442,4,1488
tt0013442,5,3278
tt0013442,6,7496
tt0013442,7,17454
tt0013442,8,28727
tt0013442,9,17338
tt0013442,10,19715
tt0014429,1,564
tt0014429,2,146
tt0014429,3,137
tt0014429,4,209
tt0014429,5,529
tt0014429,6,1209
tt0014429,7,3440
tt0014429,8,6405
tt0014429,9,4508
tt0014429,10,4105
tt0015324,1,1435
tt0015324,2,647
tt0015324,3,457
tt0015324,4,622
tt0015324,5,1447
tt0015324,6,2853
tt0015324,7,7762
tt0015324,8,15246
tt0015324,9,10735
tt0015324,10,9954
tt0015648,1,1749
tt0015648,2,453
tt0015648,3,537
tt0015648,4,831
tt0015648,5,2006
tt0015648,6,4327
tt0015648,7,9943
tt0015648,8,16552
tt0015648,9,10415
tt0015648,10,12025
tt0015864,1,2162
tt0015864,2,692
tt0015864,3,733
tt0015864,4,1061
tt0015864,5,2651
tt0015864,6,5956
tt0015864,7,17772
tt0015864,8,35017
tt0015864,9,24157
tt0015864,10,22347
tt0017136,1,3912
tt0017136,2,1267
tt0017136,3,1720
tt0017136,4,2704
tt0017136,5,5206
tt0017136,6,9861
tt0017136,7,24156
tt0017136,8,44848
tt0017136,9,40540
tt0017136,10,41901
tt0017925,1,2339
tt0017925,2,775
tt0017925,3,1049
tt0017925,4,1235
tt0017925,5,2942
tt0017925,6,5658
tt0017925,7,14733
tt0017925,8,25982
tt0017925,9,18919
tt0017925,10,18979
tt0018455,1,1809
tt0018455,2,495
tt0018455,3,530
tt0018455,4,857
tt0018455,5,1793
tt0018455,6,3259
tt0018455,7,8141
tt0018455,8,13227
tt0018455,9,8895
tt0018455,10,12611
tt0018773,1,990
tt0018773,2,222
tt0018773,3,121
tt0018773,4,225
tt0018773,5,596
tt0018773,6,1676
tt0018773,7,5844
tt0018773,8,12204
tt0018773,9,7099
tt0018773,10,5478
tt0019254,1,2377
tt0019254,2,737
tt0019254,3,813
tt0019254,4,1077
tt0019254,5,2003
tt0019254,6,3497
tt0019254,7,7878
tt0019254,8,13210
tt0019254,9,9937
tt0019254,10,14649
tt0020629,1,1548
tt0020629,2,521
tt0020629,3,495
tt0020629,4,772
tt0020629,5,1797
tt0020629,6,3938
tt0020629,7,10305
tt0020629,8,19205
tt0020629,9,13546
tt0020629,10,12045
tt0021749,1,3562
tt0021749,2,1070
tt0021749,3,1121
tt0021749,4,2062
tt0021749,5,3782
tt0021749,6,7450
tt0021749,7,21280
tt0021749,8,46437
tt0021749,9,47930
tt0021749,10,51704
tt0021814,1,372
tt0021814,2,227
tt0021814,3,492
tt0021814,4,1063
tt0021814,5,2570
tt0021814,6,6420
tt0021814,7,14203
tt0021814,8,14545
tt0021814,9,6442
tt0021814,10,8010
tt0021884,1,1224
tt0021884,2,368
tt0021884,3,557
tt0021884,4,1002
tt0021884,5,2446
tt0021884,6,6128
tt0021884,7,15461
tt0021884,8,23248
tt0021884,9,11511
tt0021884,10,12800
tt0022100,1,4127
tt0022100,2,1017
tt0022100,3,1265
tt0022100,4,2185
tt0022100,5,4159
tt0022100,6,8402
tt0022100,7,21915
tt0022100,8,42491
tt0022100,9,39260
tt0022100,10,34861
tt0022286,1,123
tt0022286,2,113
tt0022286,3,132
tt0022286,4,290
tt0022286,5,1032
tt0022286,6,2246
tt0022286,7,5644
tt0022286,8,6924
tt0022286,9,2827
tt0022286,10,2378
tt0022913,1,539
tt0022913,2,232
tt0022913,3,376
tt0022913,4,614
tt0022913,5,1616
tt0022913,6,3748
tt0022913,7,9333
tt0022913,8,14925
tt0022913,9,8167
tt0022913,10,8076
tt0023245,1,221
tt0023245,2,137
tt0023245,3,318
tt0023245,4,739
tt0023245,5,1831
tt0023245,6,4619
tt0023245,7,8762
tt0023245,8,5980
tt0023245,9,2444
tt0023245,10,2879
tt0023427,1,736
tt0023427,2,97
tt0023427,3,199
tt0023427,4,341
tt0023427,5,895
tt0023427,6,2444
tt0023427,7,6369
tt0023427,8,9452
tt0023427,9,4356
tt0023427,10,3801
tt0023969,1,1421
tt0023969,2,637
tt0023969,3,919
tt0023969,4,1232
tt0023969,5,2743
tt0023969,6,5008
tt0023969,7,9415
tt0023969,8,14718
tt0023969,9,10779
tt0023969,10,13942
tt0024184,1,793
tt0024184,2,94
tt0024184,3,183
tt0024184,4,464
tt0024184,5,1168
tt0024184,6,3411
tt0024184,7,9209
tt0024184,8,12067
tt0024184,9,4942
tt0024184,10,4535
tt0024216,1,1642
tt0024216,2,534
tt0024216,3,779
tt0024216,4,1318
